feature,mutual_information_nats,support,permutation_p,bh_q
CT__DELETE_NODE_IF_BLOCK,0.0653956197352614,380,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_IF_BLOCK,0.06420790379707786,377,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_METHOD_CLASS,0.03482270725926968,251,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_METHOD_CLASS,0.03482270725926968,251,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_FIELD_CLASS,0.03247454235886496,218,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_FIELD_CLASS,0.03247454235886496,218,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_LOCALVARIABLE_BLOCK,0.02767131745430794,346,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_LOCALVARIABLE_BLOCK,0.026961260542315735,341,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_INVOCATION_BLOCK,0.024298806784212618,309,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_INVOCATION_BLOCK,0.021866757439940668,290,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_VARIABLEREAD_INVOCATION,0.012727644670212132,160,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_VARIABLEREAD_INVOCATION,0.011824952580599499,159,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_ASSIGNMENT_BLOCK,0.008572059094084997,135,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_ASSIGNMENT_BLOCK,0.008017042727429355,130,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_PARAMETER_METHOD,0.007492340654026802,54,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_PARAMETER_METHOD,0.0071978424045837305,53,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_FIELDREAD_INVOCATION,0.006859070906464537,75,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_FIELDREAD_INVOCATION,0.006859070906464537,75,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_ANNOTATION_METHOD,0.005538085059462921,38,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_ANNOTATION_METHOD,0.005538085059462921,38,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_INVOCATION_INVOCATION,0.00529567182363945,122,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_BINARYOPERATOR_IF,0.005262341845079094,92,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_INVOCATION_LOCALVARIABLE,0.005233707722791709,49,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_CONSTRUCTOR_CLASS,0.0051440354964975244,23,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_CONSTRUCTOR_CLASS,0.0051440354964975244,23,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_VARIABLEREAD_BINARYOPERATOR,0.005089578843484434,30,0.000999000999000999,0.005265005265005266
CT__INSERT_NODE_TRY_BLOCK,0.005057965731191438,65,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_TRY_BLOCK,0.00482049950612462,64,0.000999000999000999,0.005265005265005266
CT__DELETE_NODE_PARAMETER_CONSTRUCTOR,0.004778315825157049,29,0.000999000999000999,0.005265005265005266
